"cid_hex","glyph","texname"
"u/2138","ℸ","daleth"
"u/2153","⅓","textfrac-1-3"
"u/2154","⅔","textfrac-2-3"
"u/2155","⅕","textfrac-1-5"
"u/2156","⅖","textfrac-2-5"
"u/2157","⅗","textfrac-3-5"
"u/2158","⅘","textfrac-4-5"
"u/2159","⅙","textfrac-1-6"
"u/215a","⅚","textfrac-5-6"
"u/215b","⅛","textfrac-1-8"
"u/215c","⅜","textfrac-3-8"
"u/215d","⅝","textfrac-5-8"
"u/215e","⅞","textfrac-7-8"
"u/2190","←","leftarrow"
"u/2191","↑","uparrow"
"u/2192","→","rightarrow"
"u/2193","↓","downarrow"
"u/2194","↔","leftrightarrow"
"u/2195","↕","updownarrow"
"u/2196","↖","nwarrow"
"u/2197","↗","nearrow"
"u/2198","↘","searrow"
"u/2199","↙","swarrow"
"u/219a","↚","nleftarrow"
"u/219b","↛","nrightarrow"
"u/219c","↜","arrowwaveleft"
"u/219d","↝","arrowwaveright"
"u/219e","↞","twoheadleftarrow"
"u/21a0","↠","twoheadrightarrow"
"u/21a2","↢","leftarrowtail"
"u/21a3","↣","rightarrowtail"
"u/21a6","↦","mapsto"
"u/21a9","↩","hookleftarrow"
"u/21aa","↪","hookrightarrow"
"u/21ab","↫","looparrowleft"
"u/21ac","↬","looparrowright"
"u/21ad","↭","leftrightsquigarrow"
"u/21ae","↮","nleftrightarrow"
"u/21b0","↰","Lsh"
"u/21b1","↱","Rsh"
"u/21b3","↳","ElsevierGlyph-21B3"
"u/21b6","↶","curvearrowleft"
"u/21b7","↷","curvearrowright"
"u/21ba","↺","circlearrowleft"
"u/21bb","↻","circlearrowright"
"u/21bc","↼","leftharpoonup"
"u/21bd","↽","leftharpoondown"
"u/21be","↾","upharpoonright"
"u/21bf","↿","upharpoonleft"
"u/21c0","⇀","rightharpoonup"
"u/21c1","⇁","rightharpoondown"
"u/21c2","⇂","downharpoonright"
"u/21c3","⇃","downharpoonleft"
"u/21c4","⇄","rightleftarrows"
"u/21c5","⇅","dblarrowupdown"
"u/21c6","⇆","leftrightarrows"
"u/21c7","⇇","leftleftarrows"
"u/21c8","⇈","upuparrows"
"u/21c9","⇉","rightrightarrows"
"u/21ca","⇊","downdownarrows"
"u/21cb","⇋","leftrightharpoons"
"u/21cc","⇌","rightleftharpoons"
"u/21cd","⇍","nLeftarrow"
"u/21ce","⇎","nLeftrightarrow"
"u/21cf","⇏","nRightarrow"
"u/21d0","⇐","Leftarrow"
"u/21d1","⇑","Uparrow"
"u/21d2","⇒","Rightarrow"
"u/21d3","⇓","Downarrow"
